date,day,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines
2023-05-30,461,313,298,3802,7469,3445,575,3092,18,332,454,6219,1107,
2023-05-31,462,313,298,3802,7472,3460,575,3124,18,333,454,6230,1107,
2023-06-01,463,313,298,3804,7478,3474,575,3131,18,333,458,6239,1107,
2023-06-02,464,313,298,3819,7490,3501,575,3137,18,335,465,6267,1117,
2023-06-03,465,313,298,3829,7502,3533,582,3165,18,342,475,6289,1132,
2023-06-04,466,313,298,3837,7512,3555,583,3175,18,344,479,6305,1132,
2023-06-05,467,313,298,3848,7523,3567,584,3189,18,349,484,6312,1136,
2023-06-06,468,313,299,3860,7543,3603,590,3212,18,351,489,6332,1171,
2023-06-07,469,314,299,3873,7560,3640,594,3219,18,352,492,6349,1171,
2023-06-08,470,314,299,3891,7576,3668,595,3234,18,355,500,6384,1171,
2023-06-09,471,314,299,3901,7600,3702,599,3247,18,359,502,6410,1171,
2023-06-10,472,314,299,3909,7607,3717,600,3263,18,362,507,6428,1176,
2023-06-11,473,314,299,3926,7631,3736,601,3300,18,362,509,6461,1183,
2023-06-12,474,314,299,3931,7636,3746,601,3307,18,362,510,6471,1183,
2023-06-13,475,314,300,3935,7642,3766,601,3309,18,363,511,6473,1183,
2023-06-14,476,314,300,3943,7653,3783,603,3324,18,364,516,6482,1196,
2023-06-15,477,314,301,3955,7667,3793,604,3333,18,364,519,6506,1199,
2023-06-16,478,314,301,3965,7683,3812,606,3357,18,364,519,6519,1199,
2023-06-17,479,314,302,3977,7706,3834,609,3364,18,364,520,6557,1211,
2023-06-18,480,314,304,3984,7729,3847,610,3371,18,364,522,6571,1211,
2023-06-19,481,314,305,3989,7735,3865,610,3383,18,370,526,6613,1211,
2023-06-20,482,314,306,3997,7750,3888,614,3393,18,372,531,6645,1214,
2023-06-21,483,314,306,4006,7771,3920,615,3428,18,375,539,6667,1214,
2023-06-22,484,314,307,4013,7783,3941,617,3438,18,376,539,6678,1214,
2023-06-23,485,314,307,4017,7798,3985,617,3447,18,379,545,6708,1214,
2023-06-24,486,314,308,4024,7804,4015,619,3460,18,383,548,6731,1228,
2023-06-25,487,314,308,4030,7806,4034,624,3472,18,385,552,6735,1259,
